Year,TOTAL_PRECIPITATION_CALGARY,MEAN_TEMPERATURE_CALGARY
1940,1.4292682926829268,6.69390243902439
1941,0.6688888888888889,5.2122222222222225
1942,1.091566265060241,5.667469879518072
1943,0.46593406593406594,7.150549450549451
1944,0.44044943820224725,6.956179775280899
1945,1.8013157894736842,6.061842105263158
1946,1.0759493670886076,5.550632911392405
1947,1.2623529411764705,5.370588235294117
1948,0.24505494505494507,6.196703296703297
1949,0.5444444444444444,6.971111111111111
1950,0.7292682926829268,4.647560975609756
1951,1.1611764705882353,3.3
1952,0.39888888888888885,6.605555555555555
1953,0.3901098901098901,6.943956043956043
1954,0.39780219780219783,6.230769230769231
1955,0.9136986301369864,5.475342465753425
1956,0.5978021978021978,5.006593406593407
1957,1.0781609195402297,4.801149425287356
1958,0.8869047619047619,6.582142857142857
1959,0.7130952380952381,4.511904761904762
1960,0.49540229885057474,5.985057471264368
1961,0.7616279069767442,3.9965116279069766
1962,0.45164835164835165,6.904395604395604
1963,0.7302325581395349,8.259302325581395
1964,1.0599999999999998,5.810588235294118
1965,1.4390243902439024,4.530487804878049
1966,0.475,6.03125
1967,0.296629213483146,7.00561797752809
1968,0.9258426966292134,5.182022471910113
1969,0.9764044943820225,5.006741573033708
1970,0.7493827160493828,5.128395061728395
1971,0.7827586206896551,4.687356321839081
1972,0.8888888888888888,2.7711111111111113
1973,0.5671428571428572,6.088571428571428
1974,0.6054945054945055,5.6912087912087905
1975,0.5023809523809524,6.213095238095238
1976,0.8311111111111111,5.9511111111111115
1977,1.0168674698795181,5.23855421686747
1978,1.2426829268292683,6.532926829268293
1979,0.4921348314606741,6.873033707865169
1980,0.94,6.961111111111111
1981,0.9373626373626374,6.446153846153846
1982,0.8406976744186047,5.2953488372093025
1983,0.3569767441860465,5.618604651162791
1984,1.5634146341463413,3.2939024390243907
1985,0.7191780821917808,4.358904109589041
1986,1.248148148148148,5.314814814814815
1987,0.4066666666666667,7.767777777777778
1988,0.6422222222222221,5.9911111111111115
1989,0.7177777777777777,5.692222222222222
1990,0.32906976744186045,5.745348837209303
1991,0.5848837209302326,4.8569767441860465
1992,1.1153846153846154,4.487912087912088
1993,0.465,5.9350000000000005
1994,0.6078651685393258,5.141573033707865
1995,0.6385542168674698,5.495180722891567
1996,1.1818181818181819,4.996103896103896
1997,0.5911111111111111,5.622222222222222
1998,0.57,5.9222222222222225
1999,0.27582417582417584,5.747252747252747
2000,0.672093023255814,5.158139534883722
2001,0.5127906976744186,6.894186046511628
2002,1.0314606741573034,5.264044943820225
2003,0.9710843373493975,6.13855421686747
2004,0.6362637362637363,5.141758241758241
2005,0.4636363636363636,5.670454545454546
2006,1.1530864197530866,5.803703703703704
2007,0.7348837209302326,6.047674418604651
2008,0.6087912087912087,6.717582417582417
2009,0.42666666666666664,6.271111111111111
2010,1.019753086419753,6.887654320987654
2011,0.3931818181818182,6.907954545454545
2012,0.78,5.863380281690141
2013,1.091566265060241,6.6819277108433734
2014,1.193827160493827,7.127710843373494
2015,0.9640449438202247,6.098888888888888
2016,0.6177777777777778,5.648351648351649
2017,0.5646341463414635,6.548051948051948
2018,1.2703296703296703,3.761797752808989
2019,1.3635294117647059,5.105882352941176
2020,0.7848018167713312,5.72054555561859
